Frequency,Phrase
2,restrictions on
2,that they
2,stated that
2,surgery for pectus deformity
2,to have a
2,for pectus deformity
2,surgery for pectus
2,pillar 2
2,if swimming
2,bringing a claim against
2,bringing a
2,diagnosed with
2,that patients
2,following the
2,huge financial
2,there are
2,the time
2,for bringing
2,manufacturer of
2,for bringing a claim
2,to ensure
2,be removed
2,for bringing a
2,bringing a claim
2,have had
2,had to
2,should be removed
2,should not be
2,details to
2,make a
2,be offered
2,we were
2,by a specialist
2,a specialist within
2,specialist within 2
2,a claim against the manufacturer
2,i would like the
2,women to
2,test from
2,in the past
2,from the
2,the age
2,age of
2,of 16
2,are 25
2,our baby
2,be offered a
2,weeks for
2,specialist within
2,against the
2,claim against the
2,the manufacturer
2,pectus deformity
2,for pectus
2,surgery for
2,that there
2,additional details to
2,to make a
2,against the manufacturer
2,a specialist
2,have to be
2,right to
2,the risk
2,as we
2,a claim against the
2,we would
2,claim against the manufacturer
2,the past
2,2 weeks of
2,all ages
2,counts on restaurant
2,counts on
2,on restaurant
2,research for
2,restaurant menus
2,and provide
2,can the
2,of covid 19 vaccines
2,including calorie counts
2,calorie counts on
2,on restaurant menus
2,return of children to school
2,on food labels
2,regulations to support the
2,medicine regulations to support
2,human medicine regulations to
2,to human medicine regulations
2,have to take
2,changes to human medicine
2,including calorie counts on
2,calorie counts on restaurant
2,including calorie
2,effects of
2,19 and
2,and promotion
2,is safe
2,whether something
2,covid 19 human challenge trials
2,many people
2,people in the
2,people in the uk
2,tackling obesity
2,and promotion of
2,when a
2,available to
2,are expected
2,medicine regulations to support the
2,as they
2,human medicine regulations to support
2,to human medicine regulations to
2,when lockdown
2,changes to human medicine regulations
2,are expected to
2,promotion of
2,counts on restaurant menus
2,people are
2,including calorie counts on restaurant
2,regulations to
2,human medicine
2,to human
2,consultation document
2,we reject
2,positive and
2,life and
2,suffering from
2,of patients
2,long term
2,a number
2,number of
2,that is
2,a number of
2,too ill to
2,the majority
2,majority of
2,the majority of
2,too ill
2,ill to
2,medicine regulations
2,support the
2,anaphylactic shock
2,expected to work
2,calorie counts on restaurant menus
2,food labels
2,on food
2,that this
2,be made
2,covid 19 vaccines
2,of covid 19
2,to support the
2,regulations to support
2,medicine regulations to
2,high risk
2,human medicine regulations
2,to human medicine
2,changes to human
2,to determine
2,need to
2,we need to
2,to consider
2,19 vaccines
2,to eat
2,the return of children to
2,exercise and
2,pain relief
2,there needs to be
2,the government should fund
2,within 2 weeks of
2,out to help out
2,to help out campaign
2,to be more
2,there needs to
2,additional details there
2,support and
2,more research
2,living with cystic fibrosis
2,be more
2,there needs
2,details there
2,to give
2,there is no
2,is no
2,out to help out campaign
2,to reopen
2,the world
2,needs to be more
2,government should fund
2,there needs to be more
2,to provide
2,the coronavirus
2,to meet
2,health and
2,services and
2,and their
2,boost to
2,the leisure
2,help out
2,out campaign
2,seen by
2,weeks of
2,boost to the
2,at all
2,out to help
2,to help out
2,help out campaign
2,should fund
2,seen by a
2,in all
2,of the most
2,for 3
2,the most
2,challenge trials
2,as part of the
2,the return
2,and also
2,return of
2,of children
2,with a
2,covid 19 human
2,19 human challenge
2,human challenge trials
2,the return of
2,return of children
2,of children to
2,life expectancy
2,the return of children
2,return of children to
2,of children to school
2,living with cystic
2,covid 19 human challenge
2,19 human challenge trials
2,with cf were not
2,human challenge
2,one of
2,19 human
2,crps is
2,tackle obesity
2,vulnerable members
2,sars cov 2
2,part of the
2,to tackle obesity
2,you have to
2,cf were
2,the medical
2,medical exemption
2,to create
2,speak out
2,you have
2,people with cf
2,with cf were
2,cf were not
2,to protect
2,cov 2
2,sars cov
2,swimming is
2,at home
2,increased in
2,assessment based
2,due to the
2,on autism
2,the c card scheme
2,if the
2,should ensure
2,for the government
2,children grow
2,for their
2,their children
2,this should
2,regardless of
2,details we need
2,in covid
2,regardless of the
2,the c
2,based system
2,standard risk
2,been prevented
2,should ensure that
2,are dying
2,no one should have
2,order to
2,extremely limited
2,one should have to
2,should have to pay
2,schools have
2,but it
2,and to
2,will not be
2,we are
2,are still
2,no one should have to
2,one should have to pay
2,in covid 19
2,pool time
2,additional details we need
2,contraceptive options
2,of risk
2,who are
2,to each other
2,the current
2,and all
2,all of
2,each other
2,to each
2,since the
2,made available
2,a lack of
2,who are not
2,standard risk assessment based
2,the c card
2,risk assessment based system
2,for the government to
2,in order to
2,a lack
2,c card
2,it should be
2,swim england
2,card scheme
2,price rises
2,under 25
2,could have been
2,have been prevented
2,it should
2,women in
2,so they
2,standard risk assessment
2,risk assessment based
2,assessment based system
2,could have been prevented
2,a yearly
2,standard risk assessment based system
2,in order
2,c card scheme
2,should have to
2,no one should
2,no one
2,one should
2,one should have
2,should have
2,every year
2,for a
2,and 5
2,i was not
1,which helped the
1,necessary which helped
1,helped the cases
1,distributing vaccines
1,implemented it
1,and flu
1,first implemented
1,for covid
1,treatments for
1,and treatments
1,vaccines and
1,very necessary which
1,unless very necessary
1,the cases go
1,uk government
1,consultations distributing
1,information at https www gov
1,we had to stay
1,cases go down
1,cause much more harm than
1,much more harm than good
1,at https www gov uk
1,more information
1,information at
1,government consultations
1,at https
1,https www
1,www gov
1,gov uk
1,more information at https www
1,staff who speak out
1,flu consultation
1,the rollout of covid
1,document changes
1,the rollout
1,to stay at
1,had to stay
1,to covid 19 sars
1,null and
1,related to covid 19
1,and void
1,void any
1,any non
1,non disclosure
1,disclosure agreements
1,when related to covid
1,agreements or
1,seemed very
1,or gagging
1,gagging orders
1,make null
1,covid 19 sars cov
1,stay at home
1,to protect any staff
1,any staff who speak
1,had to stay at
1,protect any staff who
1,vaccines pass
1,pass legislation
1,legislation to
1,and to protect any
1,19 sars cov 2
1,2 and to protect
1,cov 2 and to
1,home unless very
1,it seemed
1,at home unless
1,sars cov 2 and
1,rollout of
1,ahead will cause much more
1,https www gov uk government
1,go ahead will cause
1,we reject this because
1,and treatments for covid 19
1,the cases go down
1,vaccines and treatments for covid
1,reject this because we
1,helped the cases go
1,this because we believe
1,which helped the cases
1,because we believe allowing
1,we believe allowing these
1,believe allowing these changes
1,allowing these changes to
1,these changes to go
1,necessary which helped the
1,changes to go ahead
1,we had to stay at
1,treatments for covid 19 and
1,details we reject this
1,for covid 19 and flu
1,changes to go
1,schools arent taking enough precautions
1,to go ahead
1,covid 19 and flu consultation
1,to stay at home unless
1,had to stay at home
1,go ahead will
1,additional details we reject
1,ahead will cause
1,will cause much
1,cause much more
1,much more harm
1,more harm than
1,harm than good
1,to go ahead will
1,very necessary which helped
1,will cause much more harm
1,in spring
1,consultations distributing vaccines and treatments
1,allowing these changes to go
1,government consultations distributing vaccines and
1,uk government consultations distributing vaccines
1,home unless very necessary
1,these changes to go ahead
1,changes to go ahead will
1,to go ahead will cause
1,go ahead will cause much
1,at home unless very
1,stay at home unless
1,gov uk government consultations distributing
1,to stay at home
1,very effective
1,www gov uk government consultations
1,distributing vaccines and treatments for
1,was first
1,unless very necessary which
1,details we reject this because
1,ahead will cause much
1,will cause much more
1,cause much more harm
1,much more harm than
1,more harm than good
1,additional details we reject this
1,spring when
1,believe allowing these changes to
1,we reject this because we
1,reject this because we believe
1,this because we believe allowing
1,lockdown was
1,because we believe allowing these
1,we believe allowing these changes
1,orders irrespective
1,of when
1,irrespective of
1,lockdown was first implemented
1,void any non disclosure
1,and void any non
1,to covid 19
1,covid 19 sars
1,19 sars cov
1,when lockdown was first
1,spring when lockdown was
1,cov 2 and
1,2 and to
1,and to protect
1,to protect any
1,protect any staff
1,any staff who
1,staff who speak
1,who speak out
1,related to covid
1,any non disclosure agreements
1,more information at https
1,was first implemented it
1,disclosure agreements or
1,agreements or gagging
1,or gagging orders
1,gagging orders irrespective
1,orders irrespective of
1,irrespective of when
1,of when entered
1,when entered into
1,entered into when
1,into when related
1,agreements or gagging orders
1,when related to
1,disclosure agreements or gagging
1,non disclosure agreements or
1,first implemented it seemed
1,null and void any
1,when lockdown was
1,any non disclosure
1,and treatments for covid
1,for covid 19 and
1,legislation to make null
1,covid 19 and flu
1,19 and flu consultation
1,pass legislation to make
1,and flu consultation document
1,vaccines pass legislation to
1,flu consultation document changes
1,19 vaccines pass legislation
1,covid 19 vaccines pass
1,rollout of covid 19
1,consultation document changes to
1,document changes to human
1,to support the rollout
1,lockdown was first
1,treatments for covid 19
1,was first implemented
1,information at https www
1,vaccines and treatments for
1,at https www gov
1,https www gov uk
1,in spring when lockdown
1,www gov uk government
1,gov uk government consultations
1,uk government consultations distributing
1,make null and void
1,government consultations distributing vaccines
1,seemed very effective
1,it seemed very
1,consultations distributing vaccines and
1,to make null and
1,implemented it seemed
1,first implemented it
1,distributing vaccines and treatments
1,non disclosure agreements
1,void any non
1,support the rollout of
1,protect any
1,which helped
1,necessary which
1,any staff
1,very necessary
1,staff who
1,who speak
1,unless very
1,home unless
1,stay at
1,we had
1,more information at
1,information at https
1,at https www
1,https www gov
1,www gov uk
1,of when entered into
1,helped the
1,first implemented it seemed very
1,when entered into when
1,when entered
1,entered into
1,in spring when
1,into when related to
1,we had to
1,go down
1,entered into when related
1,into when
1,when related
1,related to
1,to covid
1,19 sars
1,cases go
1,the cases
1,2 and
1,implemented it seemed very effective
1,gov uk government
1,and void any
1,consultation document changes
1,support the rollout
1,it seemed very effective
1,the rollout of
1,rollout of covid
1,spring when lockdown
1,19 vaccines pass
1,implemented it seemed very
1,vaccines pass legislation
1,gagging orders irrespective of
1,or gagging orders irrespective
1,pass legislation to
1,legislation to make
1,to make null
1,make null and
1,null and void
1,document changes to
1,flu consultation document
1,irrespective of when entered
1,orders irrespective of when
1,was first implemented it seemed
1,lockdown was first implemented it
1,when lockdown was first implemented
1,government consultations distributing
1,consultations distributing vaccines
1,distributing vaccines and
1,vaccines and treatments
1,and treatments for
1,treatments for covid
1,spring when lockdown was first
1,for covid 19
1,covid 19 and
1,19 and flu
1,in spring when lockdown was
1,and flu consultation
1,uk government consultations
1,we need implement safer
1,these changes to
1,the roll
1,reject all
1,uk governments
1,governments proposals
1,proposals outlined
1,outlined in
1,their consultation
1,is coming up and
1,document from
1,from aug
1,aug 28th
1,28th 2020
1,2020 that
1,that proposes
1,proposes changes
1,season is coming up
1,flu season is coming
1,also flu season is
1,coming up and many
1,up and many people
1,we would not have survived
1,hpv and sent away for
1,would not have survived
1,had we only been tested
1,we only been tested for
1,only been tested for hpv
1,been tested for hpv and
1,tested for hpv and sent
1,for hpv and sent away
1,and sent away for 3
1,years we would not have
1,sent away for 3 5
1,away for 3 5 years
1,for 3 5 years we
1,3 5 years we would
1,many people can easily
1,and many people can
1,5 years we would not
1,covid 19 cases
1,increase in covid
1,years we would not
1,roll out
1,proposals outlined in
1,outlined in their
1,to the increase
1,in their consultation
1,their consultation document
1,consultation document from
1,document from aug
1,from aug 28th
1,colleges due to
1,aug 28th 2020
1,28th 2020 that
1,and colleges due
1,2020 that proposes
1,that proposes changes
1,proposes changes to
1,schools and colleges
1,down schools and
1,governments proposals outlined
1,uk governments proposals
1,the uk governments
1,temporary authorisation
1,out of
1,the increase in
1,vaccines that
1,that would
1,would simplify
1,simplify the
1,the temporary
1,authorisation supply
1,of the uk
1,supply use
1,use and
1,of unlicensed
1,unlicensed products
1,we reject all
1,reject all of
1,all of the
1,we would not have
1,5 years we would
1,ill close down
1,away for
1,negative smear tests with cell
1,smear tests with cell changes
1,tests with cell changes that
1,with cell changes that turned
1,cell changes that turned out
1,changes that turned out to
1,that turned out to be
1,turned out to be cervical
1,out to be cervical cancer
1,had we
1,we only
1,only been
1,been tested
1,tested for
1,for hpv
1,hpv and
1,and sent
1,hpv negative smear tests with
1,had hpv negative smear tests
1,know had hpv negative smear
1,details myself and a number
1,severely ill close down
1,changes that turned out
1,that turned out to
1,turned out to be
1,out to be cervical
1,to be cervical cancer
1,additional details myself and a
1,myself and a number of
1,i know had hpv negative
1,and a number of other
1,become severely ill close
1,a number of other women
1,number of other women i
1,of other women i know
1,other women i know had
1,women i know had hpv
1,sent away
1,3 5
1,3 5 years we
1,5 years
1,years we would
1,we would not
1,would not have
1,not have survived
1,had we only been
1,can easily catch it
1,we only been tested
1,only been tested for
1,been tested for hpv
1,people can easily catch
1,tested for hpv and
1,for hpv and sent
1,hpv and sent away
1,and sent away for
1,sent away for 3
1,away for 3 5
1,for 3 5 years
1,5 years we
1,3 5 years
1,for 3 5
1,tested for hpv
1,years we
1,would not
1,have survived
1,had we only
1,we only been
1,only been tested
1,been tested for
1,for hpv and
1,easily catch it and
1,hpv and sent
1,and sent away
1,and become severely ill
1,sent away for
1,away for 3
1,it and become severely
1,catch it and become
1,close down schools
1,severely ill close
1,allowing these changes
1,19 vaccines that would simplify
1,2020 that proposes changes to
1,that proposes changes to human
1,proposes changes to human medicine
1,coming up
1,is coming
1,season is
1,flu season
1,also flu
1,regulations to support the roll
1,to support the roll out
1,helped the cases go down
1,support the roll out of
1,the roll out of covid
1,which helped the cases go
1,roll out of covid 19
1,out of covid 19 vaccines
1,of covid 19 vaccines that
1,28th 2020 that proposes changes
1,aug 28th 2020 that proposes
1,from aug 28th 2020 that
1,of the uk governments proposals
1,people can
1,promotion of unlicensed products
1,we reject all of the
1,and many
1,up and
1,reject all of the uk
1,all of the uk governments
1,the uk governments proposals outlined
1,document from aug 28th 2020
1,uk governments proposals outlined in
1,governments proposals outlined in their
1,proposals outlined in their consultation
1,outlined in their consultation document
1,in their consultation document from
1,their consultation document from aug
1,consultation document from aug 28th
1,covid 19 vaccines that would
1,vaccines that would simplify the
1,use and promotion of
1,necessary which helped the cases
1,and flu consultation document changes
1,ahead will
1,will cause
1,cause much
1,at home unless very necessary
1,much more
1,more harm
1,harm than
1,than good
1,details we reject
1,stay at home unless very
1,we reject this
1,reject this because
1,this because we
1,because we believe
1,we believe allowing
1,believe allowing these
1,go ahead
1,to go
1,home unless very necessary which
1,supply use and promotion of
1,very necessary which helped the
1,that would simplify the temporary
1,would simplify the temporary authorisation
1,simplify the temporary authorisation supply
1,the temporary authorisation supply use
1,temporary authorisation supply use and
1,authorisation supply use and promotion
1,use and promotion of unlicensed
1,these changes
1,and promotion of unlicensed products
1,reject this
1,this because
1,because we
1,believe allowing
1,unless very necessary which helped
1,allowing these
1,and promotion of unlicensed
1,can easily
1,become severely ill
1,their consultation document from
1,promotion of unlicensed
1,of unlicensed products
1,we reject all of
1,reject all of the
1,all of the uk
1,of the uk governments
1,many people can
1,and many people
1,the uk governments proposals
1,uk governments proposals outlined
1,governments proposals outlined in
1,proposals outlined in their
1,up and many
1,coming up and
1,is coming up
1,outlined in their consultation
1,in their consultation document
1,use and promotion
1,supply use and
1,authorisation supply use
1,easily catch it
1,and become severely
1,it and become
1,support the roll
1,the roll out
1,roll out of
1,out of covid
1,catch it and
1,can easily catch
1,temporary authorisation supply
1,people can easily
1,19 vaccines that
1,vaccines that would
1,that would simplify
1,would simplify the
1,simplify the temporary
1,the temporary authorisation
1,season is coming
1,consultation document from aug
1,supply use and promotion
1,document from aug 28th
1,covid 19 vaccines that
1,19 vaccines that would
1,vaccines that would simplify
1,that would simplify the
1,would simplify the temporary
1,simplify the temporary authorisation
1,close down
1,the temporary authorisation supply
1,temporary authorisation supply use
1,ill close
1,severely ill
1,become severely
1,and become
1,it and
1,catch it
1,easily catch
1,authorisation supply use and
1,down schools
1,schools and
1,and colleges
1,also flu season
1,from aug 28th 2020
1,aug 28th 2020 that
1,28th 2020 that proposes
1,2020 that proposes changes
1,that proposes changes to
1,proposes changes to human
1,flu season is
1,19 cases
1,colleges due
1,increase in
1,the increase
1,to support the roll
1,support the roll out
1,the roll out of
1,roll out of covid
1,out of covid 19
1,19 and flu consultation document
1,taking enough
1,flu consultation document changes to
1,is still
1,social distancing but
1,still time
1,time to
1,a difference
1,furthermore this should
1,this should not
1,not be done
1,be done when
1,done when the
1,when the dust
1,the dust settles
1,dust settles but
1,settles but now
1,but now when
1,now when there
1,when there is
1,implemented social distancing
1,distancing but it
1,but it is
1,schools have implemented
1,it is not
1,we are still
1,be learnt from this pandemic
1,furthermore this
1,be done
1,done when
1,when the
1,the dust
1,as we are
1,safe as we
1,that safe as
1,not that safe
1,dust settles
1,settles but
1,but now
1,now when
1,when there
1,is not that
1,have implemented social
1,there is still
1,still sitting in
1,time to make a
1,to make a difference
1,additional details schools
1,furthermore this should not be
1,this should not be done
1,should not be done when
1,not be done when the
1,be done when the dust
1,done when the dust settles
1,when the dust settles but
1,big numbers
1,the dust settles but now
1,dust settles but now when
1,settles but now when there
1,but now when there is
1,now when there is still
1,when there is still time
1,there is still time to
1,details schools have
1,still time to make
1,is still time
1,is still time to
1,still time to
1,time to make
1,make a difference
1,furthermore this should not
1,this should not be
1,should not be done
1,not be done when
1,be done when the
1,done when the dust
1,when the dust settles
1,the dust settles but
1,dust settles but now
1,settles but now when
1,but now when there
1,now when there is
1,when there is still
1,there is still time
1,are still sitting
1,to be learnt from this
1,consultation document changes to human
1,present or former direct
1,former direct or indirect
1,direct or indirect to
1,or indirect to freely
1,small classrooms in big
1,in small classrooms in
1,sitting in small classrooms
1,still sitting in small
1,are still sitting in
1,we are still sitting
1,as we are still
1,safe as we are
1,that safe as we
1,indirect to freely speak
1,to freely speak out
1,freely speak out to
1,speak out to enable
1,not that safe as
1,or former direct or
1,staff present or former
1,to enable lessons to
1,nhs staff present or
1,lessons to be
1,to be learnt
1,be learnt from
1,learnt from this
1,implemented social distancing but it
1,have implemented social distancing but
1,schools have implemented social distancing
1,details schools have implemented social
1,from this pandemic
1,there should be no
1,should be no barriers
1,be no barriers to
1,no barriers to nhs
1,additional details schools have implemented
1,barriers to nhs staff
1,classrooms in big numbers
1,to nhs staff present
1,out to enable lessons
1,is not that safe
1,sitting in small
1,present or former direct or
1,former direct or indirect to
1,direct or indirect to freely
1,or indirect to freely speak
1,indirect to freely speak out
1,details schools have implemented
1,additional details schools have
1,in big numbers
1,classrooms in big
1,to freely speak out to
1,small classrooms in
1,freely speak out to enable
1,speak out to enable lessons
1,out to enable lessons to
1,to enable lessons to be
1,in small classrooms
1,enable lessons to be learnt
1,lessons to be learnt from
1,or former direct or indirect
1,staff present or former direct
1,it is not that
1,schools have implemented social
1,enable lessons to be
1,lessons to be learnt
1,but it is not
1,to be learnt from
1,distancing but it is
1,social distancing but it
1,be learnt from this
1,learnt from this pandemic
1,implemented social distancing but
1,have implemented social distancing
1,there should be no barriers
1,should be no barriers to
1,be no barriers to nhs
1,no barriers to nhs staff
1,barriers to nhs staff present
1,to nhs staff present or
1,nhs staff present or former
1,in big
1,is still time to make
1,still time to make a
1,isnt a threat
1,we need to have
1,need to have a
1,to have a second
1,helped a couple months
1,have a second full
1,a second full lockdown
1,second full lockdown to
1,full lockdown to ensure
1,lockdown to ensure that
1,to ensure that covid
1,ensure that covid isnt
1,that covid isnt a
1,covid isnt a threat
1,isnt a threat again
1,we need to have a
1,need to have a second
1,to have a second full
1,a threat again
1,covid isnt a
1,a second full lockdown to
1,that covid isnt
1,and tighter restrictions again as
1,isnt a
1,a threat
1,safer and tighter restrictions again
1,implement safer and tighter restrictions
1,need implement safer and tighter
1,we need implement safer and
1,threat again
1,need to have
1,a couple months ago
1,have a second
1,a second full
1,second full lockdown
1,full lockdown to
1,lockdown to ensure
1,to ensure that
1,ensure that covid
1,have a second full lockdown
1,second full lockdown to ensure
1,time to make a difference
1,we need implement
1,restrictions again as this
1,need implement safer
1,tighter restrictions again as
1,and tighter restrictions again
1,safer and tighter restrictions
1,implement safer and
1,safer and tighter
1,and tighter restrictions
1,tighter restrictions again
1,restrictions again as
1,again as this
1,as this helped
1,implement safer and tighter
1,this helped a
1,need implement safer and
1,helped a couple
1,a couple months
1,again as this helped
1,months ago
1,full lockdown to ensure that
1,couple months
1,this helped a couple
1,lockdown to ensure that covid
1,to ensure that covid isnt
1,ensure that covid isnt a
1,that covid isnt a threat
1,covid isnt a threat again
1,need implement
1,implement safer
1,safer and
1,and tighter
1,tighter restrictions
1,restrictions again
1,as this helped a
1,again as
1,this helped
1,helped a
1,a couple
1,covid isnt
1,that covid
1,tighter restrictions again as this
1,recently covid cases
1,cases has spiked
1,has spiked back
1,spiked back up
1,back up again
1,up again the
1,again the numbers
1,the numbers showing
1,numbers showing that
1,showing that there
1,that there has
1,there has been
1,still sitting
1,has been an
1,been an increase
1,recently covid cases has
1,covid cases has spiked
1,cases has spiked back
1,covid cases has
1,an increase
1,lockdown to
1,been an
1,recently covid
1,classrooms in
1,small classrooms
1,covid cases
1,cases has
1,has spiked
1,spiked back
1,back up
1,up again
1,again the
1,the numbers
1,in small
1,numbers showing
1,sitting in
1,showing that
1,there has
1,has been
1,safe as
1,has spiked back up
1,spiked back up again
1,back up again the
1,back up again the numbers
1,up again the numbers showing
1,again the numbers showing that
1,details schools
1,helped a couple months ago
1,the numbers showing that there
1,numbers showing that there has
1,this helped a couple months
1,as this helped a couple
1,again as this helped a
1,showing that there has been
1,that there has been an
1,there has been an increase
1,restrictions again as this helped
1,a second
1,second full
1,full lockdown
1,spiked back up again the
1,has spiked back up again
1,cases has spiked back up
1,there has been an
1,up again the numbers
1,again the numbers showing
1,the numbers showing that
1,numbers showing that there
1,showing that there has
1,that there has been
1,that safe
1,not that
1,have implemented
1,is not
1,has been an increase
1,recently covid cases has spiked
1,covid cases has spiked back
1,distancing but
1,social distancing
1,implemented social
1,social distancing but it is
1,distancing but it is not
1,but it is not that
1,employees directly or indirectly
1,lunch students have to
1,directly or indirectly employed
1,or indirectly employed by
1,indirectly employed by the
1,employed by the nhs
1,apply to all current and
1,during lunch students have
1,to all current and former
1,and during lunch students
1,other and during lunch
1,all current and former employees
1,current and former employees directly
1,each other and during
1,and former employees directly or
1,to each other and
1,former employees directly or indirectly
1,employees directly or indirectly employed
1,students have to sit
1,have to sit next
1,close to each other
1,former employees directly or
1,former employees directly
1,employees directly or
1,directly or indirectly
1,or indirectly employed
1,indirectly employed by
1,employed by the
1,by the nhs
1,apply to all current
1,to all current and
1,all current and former
1,lining up students are still
1,in lining up students are
1,next to each other
1,current and former employees
1,and former employees directly
1,sit next to each
1,to sit next to
1,directly or indirectly employed by
1,very close to each
1,2 pandemic has had
1,2 pandemic has
1,has had profound
1,had profound implications
1,profound implications on
1,implications on society
1,on society in
1,society in the
1,the uk and
1,uk and on
1,and on the
1,additional details the coronavirus
1,up students are still
1,details the coronavirus sars
1,the coronavirus sars cov
1,coronavirus sars cov 2
1,sars cov 2 pandemic
1,lining up students are
1,in lining up students
1,pandemic has had
1,cov 2 pandemic
1,or indirectly employed by the
1,coronavirus sars cov
1,indirectly employed by the nhs
1,still very close to
1,are still very close
1,students are still very
1,coronavirus sars
1,2 pandemic
1,pandemic has
1,has had
1,had profound
1,profound implications
1,implications on
1,on society
1,society in
1,uk and
1,and on
1,details the coronavirus
1,the coronavirus sars
1,and former employees
1,current and former
1,all current and
1,to make null and void
1,schools arent
1,make null and void any
1,null and void any non
1,and void any non disclosure
1,void any non disclosure agreements
1,any non disclosure agreements or
1,non disclosure agreements or gagging
1,disclosure agreements or gagging orders
1,agreements or gagging orders irrespective
1,or gagging orders irrespective of
1,gagging orders irrespective of when
1,orders irrespective of when entered
1,irrespective of when entered into
1,of when entered into when
1,sit next to each other
1,to sit next to each
1,when entered into when related
1,arent taking
1,couple months ago
1,to all current
1,legislation to make null and
1,arent taking enough precautions
1,document changes to human medicine
1,schools arent taking enough
1,taking enough precautions
1,regulations to support the rollout
1,arent taking enough
1,schools arent taking
1,to support the rollout of
1,support the rollout of covid
1,the rollout of covid 19
1,rollout of covid 19 vaccines
1,of covid 19 vaccines pass
1,enough precautions
1,covid 19 vaccines pass legislation
1,19 vaccines pass legislation to
1,vaccines pass legislation to make
1,pass legislation to make null
1,have to sit next to
1,entered into when related to
1,students have to sit next
1,into when related to covid
1,protect any staff who speak
1,students are still very close
1,any staff who speak out
1,apply to
1,to all
1,all current
1,up students are still very
1,current and
1,and former
1,former employees
1,employees directly
1,directly or
1,or indirectly
1,indirectly employed
1,employed by
1,by the
1,apply to all
1,to protect any staff who
1,are still very close to
1,and to protect any staff
1,19 sars cov 2 and
1,when related to covid 19
1,lunch students have to sit
1,related to covid 19 sars
1,during lunch students have to
1,to covid 19 sars cov
1,covid 19 sars cov 2
1,and during lunch students have
1,other and during lunch students
1,2 and to protect any
1,sars cov 2 and to
1,cov 2 and to protect
1,each other and during lunch
1,to each other and during
1,close to each other and
1,very close to each other
1,still very close to each
1,cov 2 pandemic has
1,pandemic has had profound
1,it is not that safe
1,or indirect
1,to freely
1,freely speak
1,students are still
1,up students are
1,to enable
1,lining up students
1,enable lessons
1,in lining up
1,next to
1,lessons to
1,be learnt
1,learnt from
1,from this
1,sit next
1,to sit
1,students have
1,lunch students
1,indirect to
1,direct or
1,and during
1,former direct
1,wealth of experience to learn
1,and during lunch
1,other and during
1,of experience to learn from
1,there should
1,be no
1,no barriers
1,barriers to
1,to nhs
1,staff present
1,present or
1,each other and
1,or former
1,close to each
1,very close to
1,still very close
1,are still very
1,during lunch
1,other and
1,next to each
1,former direct or
1,sitting in small classrooms in
1,still sitting in small classrooms
1,or indirect to
1,indirect to freely
1,to freely speak
1,are still sitting in small
1,freely speak out
1,speak out to
1,out to enable
1,to enable lessons
1,we are still sitting in
1,as we are still sitting
1,safe as we are still
1,that safe as we are
1,not that safe as we
1,is not that safe as
